id,race,gender,reason_injury,reason_escape,reason_weapons,reason_possess_evidence,items_found,total_reasons
2959,South Asian,M,1,0,0,0,0,1
2971,Black,F,1,0,1,0,0,2
2973,Middle-Eastern,M,0,0,0,1,1,1
2981,White,M,1,0,0,0,0,1
2986,White,M,1,0,0,0,0,1
2987,Indigenous,M,1,0,1,0,0,2
2995,South Asian,M,1,0,0,0,0,1
3011,Black,M,1,1,1,1,0,4
3012,Black,M,1,0,1,0,0,2
3025,Unknown or Legacy,M,1,1,1,1,0,4
3027,Black,M,0,0,1,1,0,2
3034,Unknown or Legacy,M,1,0,1,0,0,2
3035,Unknown or Legacy,M,1,1,1,1,0,4
3038,White,M,1,1,1,1,0,4
3039,White,F,1,0,0,0,0,1
3045,White,M,1,1,1,1,0,4
3051,White,M,1,0,0,0,0,1
3058,White,M,1,1,1,1,1,4
3061,White,F,1,0,1,0,0,2
3063,White,F,1,0,1,1,0,3
3067,Black,M,1,1,0,0,0,2
3074,Indigenous,M,1,1,1,1,0,4
3075,Indigenous,M,1,0,1,0,0,2
3077,Black,M,1,1,1,0,0,3
3089,Unknown or Legacy,M,1,1,1,1,0,4
3095,Black,M,0,0,1,1,0,2
3103,Indigenous,M,1,0,1,0,1,2
3118,White,M,1,0,0,0,0,1
3119,White,M,1,0,0,0,0,1
3121,White,M,1,1,1,1,0,4
3122,Unknown or Legacy,M,1,1,0,0,0,2
3125,White,M,1,0,0,0,0,1
3126,White,M,0,0,1,1,0,2
3127,White,M,1,1,1,1,0,4
3129,White,M,1,1,0,0,0,2
3130,White,M,1,0,0,0,0,1
3135,White,M,1,0,0,0,1,1
3136,White,M,0,0,0,1,0,1
3144,White,M,1,0,0,0,0,1
3145,White,M,1,1,0,0,0,2
3152,Black,M,1,0,0,0,0,1
3153,Black,M,1,0,0,0,0,1
3177,Black,M,0,0,1,1,0,2
3182,White,M,1,1,0,0,1,2
3183,White,M,1,0,0,0,0,1
3188,Black,M,0,0,0,1,0,1
3189,Black,M,1,0,0,1,1,2
3215,Middle-Eastern,M,1,0,0,0,0,1
3227,White,F,1,1,1,0,1,3
3229,White,F,1,0,0,0,0,1
3241,White,F,1,0,0,0,0,1
3242,White,F,1,1,1,0,1,3
3246,White,M,1,0,0,0,0,1
3254,White,M,1,0,0,1,0,2
3305,Black,M,1,0,1,0,1,2
3315,Middle-Eastern,M,1,0,0,0,0,1
3317,Black,M,0,0,0,0,0,0
3321,Unknown or Legacy,M,0,0,1,0,0,1
3322,Black,M,0,0,0,1,1,1
3330,Black,M,1,0,0,0,0,1
3337,Black,M,0,0,0,1,0,1
3345,Black,M,1,0,0,0,0,1
3348,Black,M,1,0,0,0,0,1
3368,White,F,1,1,1,1,0,4
3405,White,F,1,0,0,1,0,2
3409,White,F,1,0,1,0,0,2
3423,Black,M,0,0,1,1,1,2
3426,White,M,0,0,0,0,0,0
3427,White,F,1,1,1,1,0,4
3431,White,F,1,1,0,0,0,2
3442,White,F,1,1,1,1,0,4
3454,Indigenous,M,1,1,1,1,0,4
3458,Unknown or Legacy,M,1,0,0,0,0,1
3463,Black,M,1,0,1,1,1,3
3472,White,M,1,1,1,1,1,4
3473,White,M,1,1,1,1,1,4
3477,Black,M,0,0,0,1,0,1
3493,Black,M,0,0,0,0,0,0
3497,White,M,0,1,0,1,0,2
3509,White,M,0,0,0,0,0,0
3511,Middle-Eastern,M,1,1,1,0,0,3
3515,White,F,0,0,0,0,0,0
3541,Unknown or Legacy,M,1,1,1,1,0,4
3547,Black,M,0,0,0,1,0,1
3549,Black,M,1,1,1,0,0,3
3552,Black,M,1,1,1,1,1,4
3555,White,M,1,1,1,1,0,4
3556,White,F,1,0,0,0,0,1
3563,Black,M,0,0,0,0,0,0
3566,White,M,0,0,0,0,0,0
3567,White,M,0,0,0,1,0,1
3568,White,M,0,0,0,1,0,1
3577,Black,M,0,0,0,0,0,0
3592,White,M,1,1,0,0,0,2
3595,East/Southeast Asian,M,0,0,0,1,0,1
3602,Black,M,1,0,1,1,0,3
3608,Unknown or Legacy,M,1,0,1,0,0,2
3613,Black,M,1,0,0,1,0,2
3622,Black,M,0,0,0,0,0,0
3623,Black,M,0,0,0,1,0,1
3648,Black,M,1,1,0,0,1,2
3649,Black,M,1,0,0,0,0,1
3651,White,M,1,0,0,1,0,2
3652,Black,M,1,0,0,1,0,2
3653,White,M,1,0,0,0,0,1
3660,White,M,1,1,0,1,0,3
3661,Black,M,1,0,1,1,0,3
3664,Black,M,1,0,1,1,0,3
3671,Black,M,1,1,1,1,0,4
3685,White,F,1,1,0,0,0,2
3686,Black,M,1,1,1,1,0,4
3693,Black,M,1,1,1,1,0,4
3694,Black,M,1,0,0,1,0,2
3696,Black,M,1,1,1,1,0,4
3704,South Asian,M,1,0,1,0,0,2
3705,South Asian,M,1,1,1,0,0,3
3706,Middle-Eastern,M,1,1,1,0,0,3
3708,Black,M,1,1,1,0,0,3
3709,Black,M,1,0,0,1,0,2
3715,Black,F,0,0,0,1,0,1
3750,Black,M,1,1,1,1,0,4
3751,Black,M,1,0,0,1,1,2
3756,Black,M,1,0,0,0,0,1
3757,Black,M,1,1,0,0,0,2
3761,Black,M,1,0,1,0,0,2
3775,Black,M,1,1,1,0,0,3
3791,Black,F,1,1,1,1,1,4
3796,Middle-Eastern,M,1,0,0,1,0,2
3818,White,M,1,0,1,0,0,2
3823,Black,M,1,1,1,1,0,4
3826,Black,M,1,1,1,1,0,4
3843,White,M,1,0,0,1,0,2
3846,White,M,1,0,0,1,0,2
3847,Black,M,1,0,1,1,0,3
3854,Unknown or Legacy,M,1,0,0,0,0,1
3857,White,F,1,1,1,0,0,3
3875,Unknown or Legacy,M,1,1,1,1,0,4
3886,White,M,1,0,1,0,0,2
3895,White,M,1,1,0,0,1,2
3902,Unknown or Legacy,M,1,0,1,0,0,2
3915,White,M,0,0,0,0,0,0
3936,White,M,1,0,1,0,0,2
3947,White,M,1,0,1,0,0,2
3950,White,M,1,0,0,0,0,1
3952,White,M,1,1,1,1,0,4
3964,White,M,1,1,1,1,0,4
3967,Black,M,1,0,1,0,0,2
3968,Black,M,0,0,0,1,0,1
3971,White,M,1,1,1,0,0,3
3972,White,M,1,0,0,0,0,1
3974,Latino,M,1,0,0,1,0,2
3980,White,M,1,0,0,0,0,1
3982,White,M,1,1,1,1,0,4
3983,White,M,0,0,1,0,0,1
