id,race,gender,strip_search,items_found
615,Black,M,No,NA
616,Black,M,No,NA
617,Black,M,Yes,0
618,Black,M,Yes,0
619,Black,M,No,NA
620,Unknown or Legacy,F,No,NA
621,White,M,No,NA
622,Black,M,No,NA
623,White,M,No,NA
624,White,F,No,NA
625,White,F,No,NA
626,White,F,Yes,0
627,White,F,Yes,0
628,White,F,No,NA
629,White,F,No,NA
630,White,F,No,NA
631,Unknown or Legacy,F,No,NA
632,White,F,No,NA
633,White,F,No,NA
634,White,M,No,NA
635,Black,M,No,NA
636,Middle-Eastern,M,No,NA
637,South Asian,M,No,NA
638,South Asian,M,No,NA
639,Black,M,No,NA
640,Black,M,No,NA
641,Black,M,No,NA
642,Black,M,No,NA
643,Black,M,No,NA
644,Black,M,No,NA
645,South Asian,M,No,NA
646,White,M,No,NA
647,South Asian,M,No,NA
648,White,M,No,NA
649,Black,M,No,NA
650,Black,F,No,NA
651,White,M,No,NA
652,White,M,No,NA
653,East/Southeast Asian,M,No,NA
654,East/Southeast Asian,M,No,NA
655,Black,M,Yes,0
656,Black,F,No,NA
657,White,F,No,NA
658,White,F,No,NA
659,Black,M,Yes,0
660,Black,M,No,NA
661,Black,M,No,NA
662,Black,M,No,NA
663,Black,M,No,NA
664,Black,M,No,NA
665,Black,M,No,NA
666,Black,M,No,NA
667,White,M,No,NA
668,Black,M,No,NA
669,White,F,No,NA
670,Black,M,No,NA
671,White,F,No,NA
672,Black,M,No,NA
673,White,F,No,NA
674,Unknown or Legacy,M,Yes,0
675,Black,M,No,NA
676,Unknown or Legacy,F,Yes,0
677,White,M,Yes,0
678,Black,M,No,NA
679,White,F,No,NA
680,Black,M,No,NA
681,Black,M,No,NA
682,White,F,No,NA
683,Unknown or Legacy,M,No,NA
684,Black,M,No,NA
685,Unknown or Legacy,F,No,NA
686,Black,M,No,NA
687,Black,M,No,NA
688,White,M,No,NA
689,White,F,No,NA
690,Black,M,No,NA
691,Black,F,Yes,0
692,White,F,No,NA
693,White,F,No,NA
694,White,F,No,NA
695,Black,M,No,NA
696,Black,M,No,NA
697,Black,M,No,NA
698,White,M,No,NA
699,East/Southeast Asian,M,No,NA
700,White,M,No,NA
701,White,M,No,NA
702,Unknown or Legacy,M,No,NA
703,Unknown or Legacy,M,No,NA
704,Unknown or Legacy,M,No,NA
705,White,M,No,NA
706,White,M,No,NA
707,White,M,No,NA
708,East/Southeast Asian,F,No,NA
709,East/Southeast Asian,M,No,NA
710,Black,M,No,NA
711,Black,M,No,NA
712,Black,M,No,NA
713,White,M,No,NA
714,White,F,Yes,0
715,White,F,No,NA
716,Unknown or Legacy,F,Yes,0
717,White,F,No,NA
718,White,F,No,NA
719,White,F,No,NA
720,White,F,No,NA
721,White,F,No,NA
722,East/Southeast Asian,M,Yes,0
723,Black,M,No,NA
724,Black,M,No,NA
725,South Asian,F,No,NA
726,White,M,No,NA
727,East/Southeast Asian,M,No,NA
728,White,M,No,NA
729,Middle-Eastern,M,No,NA
730,Middle-Eastern,M,No,NA
731,Black,M,Yes,1
732,Unknown or Legacy,F,No,NA
733,East/Southeast Asian,F,No,NA
734,Black,F,Yes,1
735,White,M,No,NA
736,Black,M,Yes,0
737,White,M,No,NA
738,Black,M,Yes,0
739,Middle-Eastern,M,No,NA
740,Black,M,No,NA
741,Middle-Eastern,M,No,NA
742,Black,M,Yes,0
743,Indigenous,F,No,NA
744,White,M,Yes,0
745,Indigenous,F,No,NA
746,Black,M,No,NA
747,White,F,No,NA
748,White,M,No,NA
749,White,M,No,NA
750,White,M,No,NA
751,White,M,No,NA
752,White,M,No,NA
753,White,M,No,NA
754,White,M,No,NA
755,Black,M,Yes,0
756,Unknown or Legacy,M,No,NA
757,Black,M,No,NA
758,White,M,No,NA
759,Black,M,Yes,0
760,White,M,No,NA
761,Black,M,No,NA
762,East/Southeast Asian,M,No,NA
763,South Asian,M,No,NA
764,Black,M,Yes,1
765,Black,M,No,NA
766,Black,M,No,NA
767,White,M,No,NA
768,Black,M,No,NA
769,White,M,Yes,0
770,Latino,M,No,NA
771,Black,M,No,NA
772,Black,M,No,NA
773,Black,M,No,NA
774,Unknown or Legacy,F,No,NA
775,Black,M,No,NA
776,Black,M,No,NA
777,Black,M,No,NA
778,Black,M,No,NA
779,White,M,No,NA
780,White,F,No,NA
781,White,M,No,NA
782,Black,M,No,NA
783,Black,M,No,NA
784,Black,F,No,NA
785,Middle-Eastern,M,No,NA
786,Black,M,No,NA
787,White,M,Yes,0
788,White,M,No,NA
789,White,M,Yes,0
790,White,M,No,NA
791,White,M,Yes,0
792,Latino,M,No,NA
793,Unknown or Legacy,M,No,NA
794,White,M,No,NA
795,Black,M,Yes,0
796,White,M,Yes,0
797,White,M,No,NA
798,Black,M,No,NA
799,Unknown or Legacy,M,No,NA
800,White,M,Yes,0
801,White,M,Yes,0
802,White,M,No,NA
803,Black,F,No,NA
804,Black,M,No,NA
805,White,M,No,NA
806,White,F,No,NA
807,Black,M,No,NA
808,Black,F,No,NA
809,White,M,No,NA
810,Unknown or Legacy,M,No,NA
